Course{code='AST210H1', courseName='Great Moments in Astronomy', credits='0.5', campus='St. George', department='Astronomy and Astrophysics', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH102H1', courseName='Art and Ideas', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH207H1', courseName='Greek and Roman Art and Archaeology', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH215H1', courseName='Early Medieval Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH231H1', courseName='Baroque Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH246H1', courseName='Art Since 1900', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH252H1', courseName='Introduction to the History of Photography', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH260H1', courseName='The Artistic Landscape of East Asia', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH272H1', courseName='Modern Architecture from 1750 to the Present', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH309H1', courseName='City of Rome', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH310H1', courseName='Greek Vase Painting', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH313H1', courseName='Greek Myth in Ancient Art', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH318H1', courseName='Monastic Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH319H1', courseName='Illuminated Manuscripts', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH326H1', courseName='Cultural History of Islamic Spain', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH331H1', courseName='Netherlandish Renaissance Art and Culture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH337H1', courseName='Rivalry, Imitation and Envy in Italian Renaissance Art', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH348H1', courseName='The Dada and Surrealist Tradition', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH352H1', courseName='19th Century Photography', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH354H1', courseName='Art in Canada Since the 1960s', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH355H1', courseName='Landscape to EcoArt', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH360H1', courseName='World of the Senses: Chinese Decorative Arts', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH364H1', courseName='Visual South Asia', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH371H1', courseName='Architecture and Urbanism in Baroque Europe', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH102H1', courseName='Art and Ideas', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH436H1', courseName='Italian Renaissance Art, Fashion, and Material Culture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH485H1', courseName='Collecting Canada: Canadian Pictorial Arts Collection at the Royal Ontario Museum', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH486H1', courseName='Case Studies at the Royal Ontario Museum', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH490H1', courseName='Introduction to the Textile Arts of the Indian Ocean World', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH491H1', courseName='Independent Studies in Ancient Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH491H1', courseName='Independent Studies in Ancient Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH491Y1', courseName='Independent Studies in Ancient Art and Architecture', credits='1.00', campus='St. George', department='Art', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='FAH492H1', courseName='Independent Studies in Medieval Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH492H1', courseName='Independent Studies in Medieval Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH492Y1', courseName='Independent Studies in Medieval Art and Architecture', credits='1.00', campus='St. George', department='Art', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='FAH493H1', courseName='Independent Studies in Renaissance and Baroque Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH493H1', courseName='Independent Studies in Renaissance and Baroque Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH493H1', courseName='Independent Studies in Renaissance and Baroque Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='FAH493Y1', courseName='Independent Studies in Renaissance and Baroque Art and Architecture', credits='1.00', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH493Y1', courseName='Independent Studies in Renaissance and Baroque Art and Architecture', credits='1.00', campus='St. George', department='Art', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='FAH494H1', courseName='Independent Studies in Modern and Contemporary Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH494H1', courseName='Independent Studies in Modern and Contemporary Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH494Y1', courseName='Independent Studies in Modern and Contemporary Art and Architecture', credits='1.00', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH494Y1', courseName='Independent Studies in Modern and Contemporary Art and Architecture', credits='1.00', campus='St. George', department='Art', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='FAH495H1', courseName='Independent Studies in Canadian Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH495H1', courseName='Independent Studies in Canadian Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH495Y1', courseName='Independent Studies in Canadian Art and Architecture', credits='1.00', campus='St. George', department='Art', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='FAH496H1', courseName='Independent Studies in Asian Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH496H1', courseName='Independent Studies in Asian Art and Architecture', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH496Y1', courseName='Independent Studies in Asian Art and Architecture', credits='1.00', campus='St. George', department='Art', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='FAH497H1', courseName='Independent Studies in Architectural History', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH497H1', courseName='Independent Studies in Architectural History', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH497Y1', courseName='Independent Studies in Architectural History', credits='1.00', campus='St. George', department='Art', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='FAH407H1', courseName='Studies in Roman Painting and Sculpture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH424H1', courseName='Studies in Medieval Book Illumination', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH433H1', courseName='Leonardo and His Legacy in Renaissance Italy', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH434H1', courseName='The First Art Historians', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH448H1', courseName='International Art Since 1940', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH463H1', courseName='Materiality, Objecthood, Connoisseurship and Collecting in the Arts of East Asia', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH470H1', courseName='Studies in Renaissance and Baroque Architecture', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH472H1', courseName='Studies in Modern Architecture', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH481H1', courseName='Internship (formerly FAH455H1)', credits='0.5', campus='St. George', department='Art', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='FAH481H1', courseName='Internship (formerly FAH455H1)', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH481Y1', courseName='Internship (formerly FAH455H1)', credits='1.00', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='FAH481Y1', courseName='Internship (formerly FAH455H1)', credits='1.00', campus='St. George', department='Art', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='FAH483H1', courseName='Introduction to Conservation: Materials, Deterioration, and Preservation in Art and Material Culture', credits='0.5', campus='St. George', department='Art', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT333Y1', courseName='Living Primate Adaptations', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ANT100Y1', courseName='Introduction to Anthropology', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ANT200Y1', courseName='Introduction to Archaeology', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ANT203Y1', courseName='The Nature of Humans', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ANT204H1', courseName='Anthropology of the Contemporary World', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT207H1', courseName='Core Concepts in Social and Cultural Anthropology', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT208H1', courseName='Medical Anthropology: an Evolutionary Perspective on Human Health', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT253H1', courseName='Language & Society', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT314H1', courseName='Archaeology of the Pacific Northwest', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT338H1', courseName='Molecular Anthropology and Human Evolution', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT341H1', courseName='China in Transition', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT347H1', courseName='Metropolis: Global Cities', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT348H1', courseName='Medical Anthropology: Social- Cultural Perspectives (formerl y ANT348Y1)', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT356H1', courseName='Anthropology of Religion', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT358H1', courseName='Medical Anthropology and Social Justice', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT362H1', courseName='Sports and Play', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT370H1', courseName='Introduction to Social Anthropological Theory', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT372H1', courseName='Cultural Property', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT374H1', courseName='Rethinking Development, or the Improvement of the World', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT378H1', courseName='Gift, Money, and Finance', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT380H1', courseName='Craft of Social/Cultural Anthropology', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT386H1', courseName='Global Catholicism: Anthropological Approaches', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT322H1', courseName='Anthropology of Youth Culture', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT329H1', courseName='Language & Power Structure', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT458H1', courseName='Settler-Colonialism and Indigenous Health in Canada', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT334H1', courseName='Human Skeletal Biology', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT335Y1', courseName='Human Evolution', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT336H1', courseName='Evolutionary Anthropology Theory', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT480Y1', courseName='Spec Topics: Ant Research', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ANT484H1', courseName='Special Topics in Social Cultural Anthropology', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT484H1', courseName='Special Topics in Social Cultural Anthropology', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT485H1', courseName='Topics in Emerging Scholarship (Society, Culture and Language)', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT486H1', courseName='Special Topics: Socio-Cultural Research Seminar', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
